,,romaji,english,category,hiragana,katakana,kanji,source
1,,hayai,early,adjective,はやい,,,intensive1.6
2,,yasashii,kind/easy,adjective,やさしい,,,intensive1.6
3,,kibishii,strict,adjective,きびしい,,,intensive1.6
4,,tanoshii,enjoyable,adjective,たにしい,,,intensive1.6
5,,abunai,dangerous,adjective,あぶない,,,intensive1.6
6,,urusai,noisy,adjective,うるさい,,,intensive1.6
7,,iroiro,various,adjective,いろいろ,,,intensive1.6
8,,rippona,splendid,adjective,りっぽな,,,intensive1.6
9,,yuumei(na),famous,adjective,ゆうめいな,,,intensive1.6
10,,nagai,long,adjective,ながい,,,intensive1.6
11,,mijikai,short,adjective,みじかい,,,intensive1.6
12,,chikai,near,adjective,ちかい,,,intensive1.6
13,,tooi,far,adjective,とおい,,,intensive1.6
14,,tsuyoi,strong,adjective,つよい,,,intensive1.6
15,,yooi,weak,adjective,よおい,,,intensive1.6
16,,kantan(na),easy,adjective,かんたん（な）,,,intensive1.6
17,,muzukashii,difficult,adjective,むずかしい,,,intensive1.6
18,,ookii,big,adjective,おおきい,,大,intensive1.6
19,,chisa,small,adjective,ちさ,,,intensive1.6
20,,omoi,heavy,adjective,おもい,,,intensive1.6
21,,karui,light,adjective,かるい,,,intensive1.6
22,,omoshiroi,interesting,adjective,おもしろい,,,intensive1.6
23,,tsumaranai,boring,adjective,つまらない,,,intensive1.6
24,,hiroi,wide,adjective,ひろい,,,intensive1.6
25,,semai,narrow,adjective,せまい,,,intensive1.6
26,,kirei(na),clean,adjective,きれい（な）,,,intensive1.6
27,,kitanai,dirty,adjective,きたない,,,intensive1.6
28,,atarashii,new,adjective,あたらしい,,新,intensive1.6
29,,furoi,old (things),adjective,ふろい,,,intensive1.6
30,,akarui.,bright,adjective,あかるい,,,intensive1.6
31,,kurai,dark,adjective,くらい,,,intensive1.6
32,,shizuka(na),silent,adjective,しずか（な）,,,intensive1.6
33,,nigiyaka(na),lively,adjective,にぎやか,,,intensive1.6
34,,takai,expensive,adjective,たかい,,高,intensive1.6
35,,yasui,cheap,adjective,やすい,,,intensive1.6
36,,takai,high,adjective,たかい,,高,intensive1.6
37,,hikui,low,adjective, ひくい,,低,intensive1.6
38,,hima(na),free,adjective,ひま（な）,,,intensive1.6
39,,benri(na),convenient,adjective,べんり（な）,,,intensive1.6
40,,fuben(na),inconvenient,adjective,ふべん（な）,,,intensive1.6
41,,ii.yoi,good,adjective,いい・よい,,,intensive1.6
42,,warui,bad,adjective,わるい,,,intensive1.6
43,,atsui,hot (things),adjective,あつい,,,intensive1.6
44,,tsumetai,cold (things),adjective,つめたい,,,intensive1.6
45,,atsui,hot (weather),adjective,あつい,,,intensive1.6
46,,samui,cold (weather),adjective,さむい,,,intensive1.6
47,,atsui,thick,adjective,あつい,,,intensive1.6
48,,usui,thin,adjective,うすい,,,intensive1.6
49,,hayai,early,adjective,はやい,,,intensive1.7
50,,majimena,serious,adjective,まじめな,,,intensive1.7
51,,nemui,sleepy,adjective,なむい,,,intensive1.7
52,,osoi,late,adjective,おそい,,,intensive1.7
53,,genki(na),fine/vigorous,adjective,げんき（な）,,,intensive1.7
54,,daijoubu,"fine, okay",adjective,だいじょうぶ,,,intensive1.10
55,,(o)genki,(Hon) fine,adjective,（お）げんき,,,intensive1.10
56,,urayamashii,envious,adjective,うらやましい,,,intensive1.10
57,,futoi,fat,adjective,ふとい,,,intensive1.16
58,,fukuzatsu,complicated,adjective,ふくざつ,,,intensive1.17
59,,iyana,dislike,adjective,いやな,,,intensive1.19
60,,suppai,sour,adjective,すっぱい,,,intensive1.19
61,,wakai,young,adjective,わかい,,若,intensive1.19
62,,totemo,very,adverb,とても,,,intensive1.6
63,,chotto,little,adverb,ちょっと,,,intensive1.6
64,,taihen,very,adverb,たいへん,,,intensive1.6
65,,amari,not very,adverb,あまり,,,intensive1.6
66,,tokidoki,sometimes,adverb,ときどき,,,intensive1.7
67,,zenzen,never,adverb,ぜんぜん,,,intensive1.7
68,,itsumo,always,adverb,いつも,,,intensive1.7
69,,mada,not yet,adverb,まだ,,,intensive1.9
70,,mou,already,adverb,もう,,,intensive1.9
71,,nanika,something,adverb,なにか,,,intensive1.11
72,,motto,more,adverb,もっと,,,intensive1.11
73,,yoku,often,adverb,よく,,,intensive1.11
74,,dareka,anyone,adverb,だれか,,,intensive1.12
75,,nanika,anything,adverb,なにな,,,intensive1.12
76,,hakkou,splendid,adverb,はっこう,,,intensive1.12
77,,daremo,no one,adverb,だれも,,,intensive1.12
78,,nanimo,nothing,adverb,なにも,,,intensive1.12
79,,dokokae,somewhere,adverb,どこかえ,,,intensive1.13
80,,dokoemo,nowhere,adverb,どこえも,,,intensive1.13
81,,demo,but/ however,adverb,でも,,,intensive1.14
82,,shikashi,but/ however,adverb,しかし,,,intensive1.14
83,,"keredo, kedo",but/ however,adverb,けれど・けど,,,intensive1.14
84,,tsumori?,plan to do,adverb,つもり,,,intensive1.14
85,,dake,only,adverb,だけ,,,intensive1.15
86,,shika,only,adverb,しか,,,intensive1.15
87,,saikin,recently,adverb,さいきん,,,intensive1.15
88,,hanpun,half,adverb,はんぶん,,,intensive1.15
89,,soredewa,well then,adverb,それでわ,,,intensive1.16
90,,sorede,therefore,adverb,それで,,,intensive1.16
91,,korekara,after this,adverb,これから,,,intensive1.16
92,,sorekara,and then,adverb,それから,,,intensive1.16
93,,dewa,"well, then",adverb,でわ,,,intensive1.16
94,,taitei,"usually, generally",adverb,たいてい,,,intensive1.16
95,,dandan,gradually,adverb,だんだん,,,intensive1.16
96,,mochiron,certainly,adverb,もちろん,,,intensive1.16
97,,yukkuri,slowly,adverb,ゆっくり,,,intensive1.17
98,,inu,dog,animal,いぬ,,,hiragana book
99,,uma,horse,animal,うま,,,hiragana book
100,,tori,bird,animal,とり,,,hiragana book
101,,neko,cat,animal,ねこ,,,hiragana book
102,,hebi,snake,animal,へび,,,hiragana book
103,,mushi,insect,animal,むし,,,hiragana book
104,,rakuda,camel,animal,らくだ,,,hiragana book
105,,saru,monkey,animal,さる,,,hiragana book
106,,sakana,fish,animal,さかな,,魚,hiragana book
107,,doubutsu,animal,animal,どうぶつ,,,hiragana book
108,,yaku,sheep?,animal,やく,,,hiragana book
109,,boushi,hat,apparel,ぼうし,,,hiragana book
110,,sandaru,sandals,apparel,,サンダル,,hiragana book
111,,suka-to,skirt,apparel,,スカート,,hiragana book
112,,nekutai,necktie,apparel,,ネクタイ,,hiragana book
113,,ashi,feet,body part,あし,,,hiragana book
114,,te,hand,body part,て,,,hiragana book
115,,hone,bone,body part,ほね,,,hiragana book
116,,hana,nose,body part,はな,,,hiragana book
117,,mimi,ears,body part,みみ,,,hiragana book
118,,karada,body,body part,からだ,,体,hiragana book
119,,ganmen,face,body part,がんめん,,,hiragana book
120,,te,hands,body part,て,,,intensive1.12
121,,ha,teeth,body part,は,,,intensive1.12
122,,tsumara,face,body part,つまら,,,intensive1.12
123,,atama,head,body part,あたま,,,intensive1.12
124,,ashi,feet,body part,あし,,,intensive1.12
125,,me,eyes,body part,め,,,intensive1.12
126,,onaka,stomach,body part,おなか,,,intensive1.12
127,,kaminoke,hair (on the head),body part,かみのけ,,,intensive1.12
128,,kuchi,mouth,body part,くち,,,intensive1.12
129,,tsume,fingernails,body part,つめ,,,intensive1.12
130,,karada,body,body part,からだ,,,intensive1.12
131,,sei,height,body part,せい,,,intensive1.12
132,,kubi,neck,body part,くび,,,intensive1.12
133,,yubi,finger,body part,ゆび,,,intensive1.12
134,,mimi,ears,body part,みみ,,,intensive1.12
135,,uwagi,jacket,apparel,うわぎ,,,hiragana book
136,,akai,red,color,あかい,,,hiragana book
137,,kiiroi,yellow,color,きいろい,,,hiragana book
138,,aoi,blue,color,あおい,,,hiragana book
139,,chairoi,brown,color,ちゃいろい,,,hiragana book
140,,kuroi,black,color,くろい,,,hiragana book
141,,shiroi,white,color,しろい,,,hiragana book
142,,murasaki,violet,color,むらさき,,,hiragana book
143,,midori,green,color,みどり,,,hiragana book
144,,gurey(na),grey,color,,,,intensive1.11
145,,ha-douia,hardware,computer,,ハードウイア,,hiragana book
146,,adaputa,adapter,computer,,アダプタ,,hiragana book
147,,modemu,modem,computer,,モデム,,hiragana book
148,,kontore-ra,controller,computer,,コントレーラ,,hiragana book
149,,monita,monitor,computer,,モニタ,,hiragana book
150,,po-to,port,computer,,ポート,,hiragana book
151,,mousu,mouse,computer,,モウス,,hiragana book
152,,mentenansu,maintenance,computer,,メンテナンス,,hiragana book
153,,bakkappu,backup,computer,,バッカップ,,hiragana book
154,,apurike-shon,application,computer,,アプリケーション,,hiragana book
155,,insuto-ru,install,computer,,インストール,,hiragana book
156,,foruda-,folder,computer,,フォルダ,,hiragana book
157,,desukutoppu,desktop,computer,,デスクトップ,,hiragana book
158,,fairu,file,computer,,ファイル,,hiragana book
159,,sa-ba-,server,computer,,サーバー,,hiragana book
160,,rogin,login,computer,,ロゴン,,hiragana book
161,,pasuwa-do,password,computer,,パシワード,,hiragana book
162,,onrain,online,computer,,オンライン,,hiragana book
163,,daunro-do,download,computer,,ダウンロード,,hiragana book
164,,kompyuta,computer,computer,,コンピュタ,,intensive1.1
165,,sofutowea,software,computer,,ソフトバンク,,intensive1.1
166,,kaihatsu,software department,computer,かいはつ,,,intensive1.1
167,,gakkoii,cool,expression,がっこいい,,,japanesepod101
168,,kome,rice,food&drinks,こめ,,,hiragana book
169,,sake,alcohol,food&drinks,さけ,,,hiragana book
170,,niku,meat,food&drinks,にく,,,hiragana book
171,,tamago,egg,food&drinks,たまご,,,hiragana book
172,,mizu,water,food&drinks,みず,,,hiragana book
173,,shio,salt,food&drinks,しお,,,hiragana book
174,,satou,sugar,food&drinks,さとう,,,hiragana book
175,,obentou,packed lunch,food&drinks,おべんとう,,,hiragana book
176,,koucha,brown tea,food&drinks,こうちゃ,,,hiragana book
177,,shouyu,soy sauce,food&drinks,しょうゆ,,,hiragana book
178,,aisukuri-mu,ice cream,food&drinks,,アイスクリーム,,hiragana book
179,,ke-ki,cake,food&drinks,,ケーキ,,hiragana book
180,,ko-hi-,coffee,food&drinks,,コーヒー,,hiragana book
181,,so-se-ji,sausage,food&drinks,,ソーセージ,,hiragana book
182,,chi-zu,cheese,food&drinks,,チーズ,,hiragana book
183,,tsuna,tuna,food&drinks,,ツナ,,hiragana book
184,,tomato,tomato,food&drinks,,トマト,,hiragana book
185,,nu-doru,noodles,food&drinks,,ノードル,,hiragana book
186,,hanba-ga-,hamburger,food&drinks,,ハンバーガー,,hiragana book
187,,miruku,milk,food&drinks,,ミルク,,hiragana book
188,,mu-su,mousse,food&drinks,,ムース,,hiragana book
189,,wain,wine,food&drinks,,ワイン,,hiragana book
190,,pan,bread,food&drinks,,パシ,,hiragana book
191,,piza,pizza,food&drinks,,ピザ,,hiragana book
192,,sarada,salad,food&drinks,,サラダ,,hiragana book
193,,kukki-,cookie,food&drinks,,クッキー,,hiragana book
194,,su-pu,soup,food&drinks,,スープ,,hiragana book
195,,supageti,spaghetti,food&drinks,,スパゲチ,,hiragana book
196,,ryouri,dish,food&drinks,りょうり,,,intensive1.6
197,,kudamono,fruits,food&drinks,くだもの,,,intensive1.6
198,,jusu,juice,food&drinks,じゅす,,,intensive1.6
199,,norimono,food,food&drinks,のります,,,intensive1.8
200,,hirugohan,lunch,food&drinks,ひるぎはん,,,intensive1.8
201,,ramen,ramen,food&drinks,,ラメン,,intensive1.8
202,,asagohan,breakfast,food&drinks,あさぎはん,,,intensive1.8
203,,bangohan,dinner,food&drinks,なごはん,,,intensive1.8
204,,gohan,meal,food&drinks,ごはん,,,intensive1.8
205,,nomimono,drinks,food&drinks,のみもの,,,intensive1.8
206,,biru,beer,food&drinks,,ビル,,intensive1.8
207,,gyuunyuu,milk,food&drinks,ぎゅうにゅう,,,intensive1.8
208,,ocha,green tea,food&drinks,おちゃ,,お茶,intensive1.8
209,,kocha,brown tea,food&drinks,こちゃ,,,intensive1.8
210,,osake,Japanese liquor,food&drinks,おさけ,,,intensive1.8
211,,wain,wine,food&drinks,,ワイン,,intensive1.8
212,,kora,cola,food&drinks,,コラ,,intensive1.8
213,,niku,meat,food&drinks,にく,,,intensive1.11
214,,ryouri,dish,food&drinks,りょうり,,,intensive1.11
215,,orenjijusu,orange juice,food&drinks,,オレンジジュース,,intensive1.13
216,,chawan,rice bowl,food&drinks,ちゃわん,,,intensive1.16
217,,suika,watermelon,fruit,すいか,,,hiragana book
218,,mikan,orange,fruit,みかん,,,hiragana book
219,,momo,peaches,fruit,もも,,,hiragana book
220,,ringo,apple,fruit,りんご,,,hiragana book
221,,kudamono,fruit,fruit,くだもの,,,hiragana book
222,,meron,melon,fruit,,メロン,,hiragana book
223,,painappuru,pineapple,fruit,,パイナップル,,hiragana book
224,,banana,banana,fruit,,バナナ,,hiragana book
225,,mangosuchin,mangosteen,fruit,,マンゴスチン,,hiragana book
226,,dorian,durian,fruit,,ドリアン,,hiragana book
227,,mango-,mango,fruit,,マンゴー,,hiragana book
228,,papaya,papaya,fruit,,パパヤ,,hiragana book
229,,budou,grapes,fruits,ぶどう,,,intensive1.11
230,,ki,tree,nature,き,,,hiragana book
231,,sora,sky,nature,そら,,,hiragana book
232,,tsuki,moon,nature,つく,,,hiragana book
233,,yama,mountain,nature,やま,,山,hiragana book
234,,yuki,snow,nature,ゆき,,雪,hiragana book
235,,yoru,night,nature,よる,,,hiragana book
236,,hana,flower,nature,はな,,,hiragana book
237,,natsu,summer,nature,なつ,,,hiragana book
238,,ame,rain,nature,あめ,,雨,hiragana book
239,,kisetsu,season,nature,きせつ,,,hiragana book
240,,fuyu,winter,nature,ふゆ,,,hiragana book
241,,kaze,wind,nature,かぜ,,風,hiragana book
242,,haru,spring,nature,はる,,,hiragana book
243,,sakura,cherry blossoms,nature,さくら,,,hiragana book
244,,hanabi,fireworks,nature,はなび,,,hiragana book
245,,happa,leaf,nature,はっぱ,,,hiragana book
246,,shikke,humidity,nature,しっけ,,,hiragana book
247,,kaigan,beach,nature,かいがん,,,intensive1.10
248,,Fuijisan,Mt Fuji,nature,ふじさん,,富士山,intensive1.10
249,,hanami,flower viewing,nature,はなみ,,,intensive1.10
250,,umi,"sea, beach",nature,うみ,,,intensive1.11
251,,tenki,weather,nature,てんき,,,intensive1.11
252,,mawari,surroundings,nature,まわり,,,intensive1.18
253,,sakura,cherry blossoms,nature,さくら,,,intensive1.20
254,,ike,pond,nature,いけ,,,intensive1.20
255,,sora,sky,nature,そら,,,intensive1.20
256,,yoyaku,reservation,noun-verb,よやく,,,intensive1.10
257,,renshuu,practice,noun-verb,れんしゅう,,,intensive1.10
258,,shokai,introduction,noun-verb,しょかい,,,intensive1.10
259,,,explanation,noun-verb,,,,intensive1.10
260,,supotsu,sports,noun-verb,,スポつ,,intensive1.10
261,,ryoku,tour,noun-verb,りょく,,,intensive1.10
262,,henji,reply,noun-verb,へんじ,,,intensive1.10
263,,untan,driving,noun-verb,うんたん,,,intensive1.10
264,,souji,cleaning,noun-verb,そうじ,,,intensive1.10
265,,sentaku,laundry,noun-verb,せんたく,,,intensive1.10
266,,gorufu,golf,noun-verb,,ゴルフ,,intensive1.10
267,,demo,but,particles,でも,,,intensive1.13
268,,soshite,and,particles,そして,,,intensive1.13
269,,otoko,male,person,おとこ,,,hiragana book
270,,tomodachi,friend,person,ともだち,,,hiragana book
271,,gakusei,student,person,がくせい,,,hiragana book
272,,nihonjin,Japanese,person,にほんじん,,日本人,hiragana book
273,,watashi,I,person,わたし,,私,hiragana book
274,,kangofu,nurse,person,かんごふ,,,hiragana book
275,,kazoku,family,person,かぞく,,,hiragana book
276,,kodomo,child,person,こども,,,hiragana book
277,,onna,female,person,おんな,,,hiragana book
278,,shain,employee,person,しゃいん,,,hiragana book
279,,anata,you,person,あなた,,,intensive1.1
280,,kaishain,company employee,person,かいしゃいん,,,intensive1.1
281,,shain,employee,person,しゃいん,,,intensive1.1
282,,shachou,"company head, president",person,しゃちょう,,,intensive1.1
283,,buchou,"department head, manager",person,ぶちょう,,,intensive1.1
284,,kachou,"section head, supervisor",person,かちょう,,,intensive1.1
285,,otoko,male,person,おとこ,,,intensive1.1
286,,onna,female,person,おんな,,,intensive1.1
287,,~san,"Mr, Ms, Mrs",person,～さん,,,intensive1.1
288,,~sensei,"teacher, doctor",person,～せんせい,,,intensive1.1
289,,gakusei,student,person,がくせい,,,intensive1.1
290,,Firipinjin,Filipino,person,,フィリピンジョン,,intensive1.1
291,,minna,everyone,person,みんな,,,intensive1.1
292,,hito(informal),person,person,ひと,,,intensive1.1
293,,kata(formal),person,person,かた,,,intensive1.1
294,,kazoku,family,person,かぞく,,,intensive1.1
295,,enjinia,engineer,person,えんじにゃ,,,intensive1.1
296,,kenshuusei,trainees,person,けんしゅうせい,,,intensive1.1
297,,chichi,my father,person,ちち,,,intensive1.1
298,,haha,my mother,person,はは,,,intensive1.1
299,,ani,my older brother,person,あに,,,intensive1.1
300,,ane,my older sister,person,あね,,,intensive1.1
301,,otouto,my younger brother,person,おとうと,,,intensive1.1
302,,imouto,my younger sister,person,いもうと,,,intensive1.1
303,,sofu,my grandfather,person,そふ,,,intensive1.1
304,,sobo,my grandmother,person,そぼ,,,intensive1.1
305,,shujin/otto,my husband,person,しゅじん・おっと,,,intensive1.1
306,,kanai/tsuma,my wife,person,かない・つま,,,intensive1.1
307,,otousan,your father,person,おとうさん,,,intensive1.1
308,,okaasan,your mother,person,おかあさん,,,intensive1.1
309,,anisan,your older brother,person,あにさん,,,intensive1.1
310,,anesan,your older sister,person,あねさん,,,intensive1.1
311,,otoutosan,your younger brother,person,おとうとさん,,,intensive1.1
312,,imoutosan,your younger sister,person,いもうとさん,,,intensive1.1
313,,ojiisan,your grandfather,person,おじいさん,,,intensive1.1
314,,obaasan,your grandmother,person,おばあさん,,,intensive1.1
315,,go-shujin,your husband,person,ごーしゅじん,,,intensive1.1
316,,okusan,your wife,person,おくさん,,,intensive1.1
317,,go-kazoku,your family,person,ごーかぞく,,,intensive1.1
318,,guru-pu,group,person,,グループ,,intensive1.1
319,,ryoushin,parents,person,りょうしん,,,intensive1.2
320,,gaikokujin,foreigner,person,がいこくじん,,外国人,intensive1.2
321,,kyoudai,siblings,person,きょうだい,,,intensive1.2
322,,ko,child,person,こ,,,intensive1.2
323,,chi-mu,team,person,,チーム,,intensive1.4
324,,shinnyuushain,new employee,person,しんにゅうしゃいん,,,intensive1.5
325,,ryuugakusei,exchange student,person,りゅうがくせい,,,intensive1.6
326,,isha,doctor,person,いしゃ,,,intensive1.6
327,,kurasumeto,classmate,person,,クラスト,,intensive1.9
328,,kashu,singer,person,かしゅ,,,intensive1.11
329,,senshu,"athlete, team player",person,せんしゅ,,,intensive1.11
330,,shefu,chef,person,,シェフ,,intensive1.11
331,,watakushi,I (formal),person,わたくし,,,intensive1.17
332,,minasan,everyone,person,みなさん,,,intensive1.17
333,,menba-,member,person,,メンバー,,intensive1.20
334,,jibunde,oneself,person,じぶんで,,,intensive1.20
335,,eki,station,place,えき,,,hiragana book
336,,shima,island,place,しま,,,hiragana book
337,,honya,bookstore,place,ほんや,,,hiragana book
338,,daigaku,university,place,だいがく,,,hiragana book
339,,chikatetsu,subway,place,ちかてつ,,,hiragana book
340,,kusuriya,drugstore,place,くすりや,,,hiragana book
341,,hashi,bridge,place,はし,,,hiragana book
342,,daidokoro,kitchen,place,だいどころ,,,hiragana book
343,,mise,store,place,みせ,,,hiragana book
344,,otera,temple,place,おてら,,,hiragana book
345,,heya,room,place,へや,,,hiragana book
346,,michi,road,place,みち,,,hiragana book
347,,ginkou,bank,place,ぐんこう,,,hiragana book
348,,kouen,park,place,こうえん,,,hiragana book
349,,koukou,high school,place,こうこう,,,hiragana book
350,,kissaten,coffee shop,place,きっさてん,,,hiragana book
351,,gakkou,school,place,がっこう,,,hiragana book
352,,byouin,hospital,place,びょういん,,,hiragana book
353,,kaisha,company,place,かいしゃ,,,hiragana book
354,,toshokan,library,place,としょかん,,,hiragana book
355,,iguru,igloo,place,,イグル,,hiragana book
356,,mo-ru,mall,place,,モール,,hiragana book
357,,ofisu,office,place,,オフィス,,intensive1.1
358,,daigaku,university,place,だいがく,,,intensive1.1
359,,uchi,home,place,うち,,,intensive1.1
360,,ie,house,place,いえ,,,intensive1.1
361,,heya,room,place,へや,,,intensive1.1
362,,chuushajou,parking lot,place,ちゅうしゃじょう,,,intensive1.1
363,,bu,department,place,ぶ,,,intensive1.1
364,,honsha,main office,place,ほんしゃ,,,intensive1.1
365,,shiten,branch office,place,してん,,,intensive1.1
366,,eigakan,movie house,place,えいがかん,,,intensive1.2
367,,depa-to,department store,place,,デパート,,intensive1.2
368,,su-pa-,supermarket,place,,スーパー,,intensive1.2
369,,kaigishitsu,conference room,place,かいぎしつ,,,intensive1.2
370,,kyoushitsu,classroom,place,きょうしつ,,,intensive1.2
371,,apa-to,apartment,place,,アパート,,intensive1.2
372,,koujou,factory,place,こうじょう,,,intensive1.2
373,,ginkou,bank,place,ぎんこう,,,intensive1.2
374,,resutoran,restaurant,place,,レストラン,,intensive1.2
375,,mo-ru,mall,place,,モール,,intensive1.2
376,,taishikan,embassy,place,たいしかん,,,intensive1.2
377,,ryou,dormitory,place,りょう,,,intensive1.2
378,,otearai,washroom,place,おてあらい,,,intensive1.2
379,,eki,station,place,えき,,,intensive1.2
380,,chikatetsu,subway,place,ちかてつ,,,intensive1.2
381,,biru,building,place,,ビル,,intensive1.2
382,,hen,area,place,へん,,,intensive1.2
383,,tokoro,place,place,ところ,,,intensive1.6
384,,tatemono,building,place,たてもの,,,intensive1.6
385,,toire,toilet,place,,トイレ,,intensive1.6
386,,shokudou,cafeteria,place,しょくどう,,,intensive1.8
387,,toshokan,library,place,としょかん,,,intensive1.8
388,,karaoke,karaoke,place,,カラオケ,,intensive1.8
389,,gaikoku?,foreign country,place,がいこく,,,intensive1.9
390,,igirisu,England,place,いぎいず,,,intensive1.9
391,,maresha,Malaysia,place,,イギリス,,intensive1.9
392,,inaka,province,place,,マレシャ,,intensive1.9
393,,kouen,park,place,こうえん,,,intensive1.9
394,,Tai,Thailand,place,たい,,,intensive1.9
395,,shingaporu,Singapore,place,,シンガポル,,intensive1.9
396,,furansu,France,place,,フランス,,intensive1.9
397,,bikoru,Bicol,place,,ビコル,,intensive1.9
398,,rizo-to,resort,place,,リゾート,,intensive1.10
399,,ryokan,Japanese style inn,place,りょかん,,,intensive1.10
400,,minato,port,place,みなと,,,intensive1.13
401,,hoteru,hotel,place,,ホテル,,intensive1.13
402,,kuukou,airport,place,くうこう,,,intensive1.13
403,,genkan,entrance way,place,げんかん,,,intensive1.14
404,,pu-ru,swimming pool,place, ,プール,,intensive1.15
405,,okujou,rooftop,place,おくじょう,,,intensive1.17
406,2,izakaya,"pub, bar",place,いざかや,,,intensive1.18
407,3,douro,road,place,どうろ,,,intensive1.19
408,4,bijutsukan,museum,place,びじゅつかん,,,intensive1.19
409,5,noriba,"station(bus, taxi)",place,のりば,,川,intensive1.19
410,6,inaka,province,place,いなか,,,intensive1.19
411,7,mura,village,place,むら,,,intensive1.19
412,8,(o)dera,temple,place,（お）でら,,,intensive1.19
413,9,kousaten,crossing,place,こうさてん,,,intensive1.19
414,10,kouka,corridor,place,こうか,,,intensive1.19
415,11,machi,town,place,まち,,町,intensive1.19
416,12,niwa,garden,place,にわ,,,intensive1.20
417,13,kawa,river,place,かわ,,,intensive1.20
418,14,hantai,opposite,ra,はんたい,,,hiragana book
419,15,sensu,fan?,random,せんす,,,hiragana book
420,16,hi,may fire?,random,ひ,,,hiragana book
421,17,ro,gate?,random,ろ,,,hiragana book
422,18,netsu,fever,random,ねつ,,,hiragana book
423,19,kaigi,conference,random,かいぎ,,,hiragana book
424,20,yasumi,holiday,random,やすみ,,,hiragana book
425,21,yotei,schedule,random,よてい,,,hiragana book
426,22,shigoto,work,random,しごと,,,hiragana book
427,23,hondana,bookshelf,random,ほんだな,,,hiragana book
428,24,ongaku,music,random,おんがく,,,hiragana book
429,25,kaze,colds,random,かぜ,,,hiragana book
430,26,mado,window,random,まど,,,hiragana book
431,27,namida,tears,random,なみだ,,,hiragana book
432,28,kibun,feeling,random,きぶん,,,hiragana book
433,29,mondai,problem,random,もんだい,,,hiragana book
434,2,suugaku,mathematics,random,すうがく,,,hiragana book
435,3,kouban,police box,random,こうばん,,,hiragana book
436,4,bangou,number,random,ばんごう,,,hiragana book
437,5,eiga,movie,random,えいが,,,hiragana book
438,6,shisei,posture,random,しせい,,,hiragana book
439,7,gakki,semester,random,がっき,,,hiragana book
440,8,hakken,discovery,random,はっけん,,,hiragana book
441,9,ryokou,trip,random,りょこう,,,hiragana book
442,10,hanbun,half,random,はんぶん,,,hiragana book
443,11,kanpai,toast,random,かんぱい,,,hiragana book
